example_id,seed,schedule_id,schedule,scheduler,score_diag_um,score_projection,score_residualized,score_budgeted,actual_response_power,actual_terminal_gain,frontier_width_histogram
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",subset_exact,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,1.097011719987795,1.0473832727267487,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",subset_beam_8,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,1.097011719987795,1.0473832727267487,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",subset_beam_32,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,1.097011719987795,1.0473832727267487,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",saps_diagonal,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,1.097011719987795,1.0473832727267487,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",p_saps_residualized,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,1.097011719987795,1.0473832727267487,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",p_saps_projection,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,1.097011719987795,1.0473832727267487,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",b_saps_budgeted,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,1.097011719987795,1.0473832727267487,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",random_balanced,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,29.91226150355765,5.469210318095077,"{""1"": 12}"
s1-i12,1,f42bcabb71e9aadd,"[[0, 2, 7, 8], [1, 3, 10, 11], [4, 5, 6, 9]]",confidence,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,14.68867948363447,3.8325813081570064,"{""1"": 12}"
s1-i12,1,f9ee8f6de9983bb4,"[[0, 2, 3, 7], [1, 8, 10, 11], [4, 5, 6, 9]]",entropy,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,1.1262178355545605e-05,0.0033559169172590678,"{""1"": 12}"
s1-i12,1,04e9e301fc210a4f,"[[0, 1, 2, 3], [4, 6, 7, 10], [5, 8, 9, 11]]",dependency_cmi,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,2.4327325921920173,1.559721959899269,"{""1"": 12}"
s1-i12,1,a60994facdddb4d5,"[[0, 1, 8, 9], [2, 6, 10, 11], [3, 4, 5, 7]]",min_within_batch_tc,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,39.246497800298044,6.264702530870723,"{""1"": 12}"
s1-i12,1,50e10ab5b359ad31,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11]]",dprm_myopic,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,2.4327325921920173,1.559721959899269,"{""1"": 12}"
s1-i12,1,50e10ab5b359ad31,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11]]",dprm_rollout,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,2.4327325921920173,1.559721959899269,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",subset_exact,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,29.91226150355765,5.469210318095077,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",subset_beam_8,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,29.91226150355765,5.469210318095077,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",subset_beam_32,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,29.91226150355765,5.469210318095077,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",saps_diagonal,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,29.91226150355765,5.469210318095077,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",p_saps_residualized,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,29.91226150355765,5.469210318095077,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",p_saps_projection,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,29.91226150355765,5.469210318095077,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",b_saps_budgeted,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,29.91226150355765,5.469210318095077,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",random_balanced,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.85047485792488,-0.9222119376395428,"{""1"": 12}"
s1-i12,1,f42bcabb71e9aadd,"[[0, 2, 7, 8], [1, 3, 10, 11], [4, 5, 6, 9]]",confidence,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.03000876121300928,-0.17323037035407296,"{""1"": 12}"
s1-i12,1,f9ee8f6de9983bb4,"[[0, 2, 3, 7], [1, 8, 10, 11], [4, 5, 6, 9]]",entropy,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.0,0.0,"{""1"": 12}"
s1-i12,1,04e9e301fc210a4f,"[[0, 1, 2, 3], [4, 6, 7, 10], [5, 8, 9, 11]]",dependency_cmi,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.1794864062373427,-0.4236583602826016,"{""1"": 12}"
s1-i12,1,a60994facdddb4d5,"[[0, 1, 8, 9], [2, 6, 10, 11], [3, 4, 5, 7]]",min_within_batch_tc,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,1.3208615931678276,-1.1492874284389556,"{""1"": 12}"
s1-i12,1,50e10ab5b359ad31,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11]]",dprm_myopic,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.1794864062373427,-0.4236583602826016,"{""1"": 12}"
s1-i12,1,50e10ab5b359ad31,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11]]",dprm_rollout,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.1794864062373427,-0.4236583602826016,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",subset_exact,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.85047485792488,-0.9222119376395428,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",subset_beam_8,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.85047485792488,-0.9222119376395428,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",subset_beam_32,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.85047485792488,-0.9222119376395428,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",saps_diagonal,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.85047485792488,-0.9222119376395428,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",p_saps_residualized,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.85047485792488,-0.9222119376395428,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",p_saps_projection,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.85047485792488,-0.9222119376395428,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",b_saps_budgeted,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.85047485792488,-0.9222119376395428,"{""1"": 12}"
